index,answer,rand,rand_s,ent,ent_s,pos,pos_s
2384,cabob,6,1,5,1,5,1
2385,azlon,3,1,3,1,3,1
2386,foret,3,1,4,1,4,1
2387,polki,5,1,4,1,4,1
2388,grubs,3,1,4,1,4,1
2389,puces,4,1,4,1,4,1
2390,eking,6,1,7,0,7,0
2391,ouzos,6,1,5,1,5,1
2392,chous,4,1,4,1,4,1
2393,sassy,7,0,5,1,4,1
2394,samba,5,1,4,1,4,1
2395,ayuyu,5,1,5,1,4,1
2396,memos,4,1,4,1,4,1
2397,recur,5,1,4,1,4,1
2398,apert,5,1,4,1,4,1
2399,caman,6,1,4,1,4,1
2400,veers,8,0,4,1,4,1
2401,calla,3,1,4,1,4,1
2402,malax,5,1,5,1,6,1
2403,tunca,3,1,3,1,3,1
2404,quiet,3,1,4,1,4,1
2405,puked,5,1,5,1,5,1
2406,stela,4,1,4,1,4,1
2407,gonia,5,1,4,1,4,1
2408,hanse,3,1,5,1,5,1
2409,liang,4,1,4,1,5,1
2410,hypha,5,1,5,1,5,1
2411,nikau,5,1,4,1,5,1
2412,oxbow,5,1,5,1,5,1
2413,bouet,4,1,5,1,5,1
2414,parol,3,1,3,1,3,1
2415,serfs,6,1,6,1,6,1
2416,mozos,8,0,4,1,4,1
2417,fermi,5,1,5,1,5,1
2418,palps,6,1,5,1,5,1
2419,needn,3,1,4,1,4,1
2420,nowts,4,1,4,1,4,1
2421,unsty,5,1,4,1,4,1
2422,gorer,4,1,5,1,5,1
2423,eyren,4,1,4,1,4,1
2424,dusky,5,1,4,1,4,1
2425,britt,5,1,5,1,4,1
2426,sowar,4,1,3,1,3,1
2427,rinse,3,1,3,1,3,1
2428,lefts,4,1,3,1,4,1
2429,dumpy,5,1,4,1,4,1
2430,daiva,4,1,4,1,4,1
2431,nahum,5,1,5,1,5,1
2432,loafs,3,1,3,1,3,1
2433,bikie,5,1,6,1,6,1
2434,feted,5,1,4,1,4,1
2435,zitis,3,1,3,1,3,1
2436,lakes,5,1,7,0,7,0
2437,fress,6,1,6,1,6,1
2438,lutes,3,1,3,1,3,1
2439,torah,3,1,4,1,4,1
2440,kyung,4,1,4,1,4,1
2441,lexia,4,1,3,1,3,1
2442,cronk,4,1,4,1,4,1
2443,prise,4,1,4,1,4,1
2444,palta,4,1,4,1,4,1
2445,vergi,4,1,5,1,5,1
2446,argol,4,1,4,1,4,1
2447,frowy,5,1,5,1,5,1
2448,tores,3,1,3,1,3,1
2449,eaver,9,0,8,0,8,0
2450,roble,3,1,3,1,3,1
2451,butyn,3,1,3,1,3,1
2452,parve,7,0,4,1,4,1
2453,comby,6,1,5,1,5,1
2454,crang,4,1,5,1,5,1
2455,huzza,6,1,5,1,5,1
2456,ocean,3,1,3,1,3,1
2457,ceorl,3,1,3,1,3,1
2458,timar,3,1,5,1,5,1
2459,tiros,3,1,3,1,3,1
2460,snary,3,1,3,1,3,1
2461,ricks,3,1,3,1,3,1
2462,frill,7,0,6,1,6,1
2463,cotty,4,1,4,1,4,1
2464,tolyl,4,1,3,1,3,1
2465,grano,5,1,5,1,5,1
2466,kinic,7,0,5,1,5,1
2467,shote,5,1,5,1,5,1
2468,shita,4,1,4,1,4,1
2469,flyer,5,1,4,1,4,1
2470,welds,6,1,4,1,4,1
2471,lived,4,1,4,1,4,1
2472,wyled,5,1,5,1,5,1
2473,fease,5,1,6,1,6,1
2474,sells,4,1,6,1,6,1
2475,addda,5,1,5,1,5,1
2476,umbra,4,1,4,1,4,1
2477,fovea,5,1,5,1,5,1
2478,yeven,6,1,5,1,5,1
2479,brims,6,1,5,1,5,1
2480,hadal,7,0,4,1,4,1
2481,fayed,10,0,6,1,6,1
2482,flipe,5,1,5,1,5,1
2483,remus,5,1,4,1,4,1
2484,alisp,5,1,4,1,4,1
2485,serau,6,1,4,1,4,1
2486,roger,4,1,8,0,8,0
2487,aueto,4,1,5,1,5,1
2488,unwan,4,1,4,1,4,1
2489,gyric,4,1,4,1,4,1
2490,gyron,6,1,4,1,4,1
2491,askos,4,1,4,1,4,1
2492,willi,6,1,4,1,4,1
2493,xylem,4,1,5,1,5,1
2494,redly,4,1,5,1,5,1
2495,ergon,4,1,4,1,4,1
2496,undig,5,1,5,1,5,1
2497,choux,5,1,4,1,4,1
2498,spurs,4,1,4,1,4,1
2499,maida,5,1,4,1,4,1
2500,pekan,4,1,4,1,4,1
2501,freet,3,1,5,1,5,1
2502,orion,4,1,4,1,3,1
2503,alist,3,1,3,1,3,1
2504,leach,4,1,4,1,4,1
2505,spite,5,1,3,1,3,1
2506,comid,4,1,4,1,4,1
2507,brock,4,1,5,1,5,1
2508,pyral,5,1,4,1,4,1
2509,nonyl,4,1,3,1,3,1
2510,lomta,4,1,4,1,4,1
2511,twats,4,1,3,1,3,1
2512,icasm,4,1,4,1,4,1
2513,brisa,4,1,4,1,4,1
2514,woody,8,0,4,1,4,1
2515,films,4,1,4,1,4,1
2516,haust,4,1,4,1,4,1
2517,fytte,4,1,5,1,5,1
2518,hider,4,1,6,1,6,1
2519,oxeye,4,1,5,1,4,1
2520,inrol,3,1,3,1,3,1
2521,faros,3,1,6,1,6,1
2522,evang,4,1,4,1,4,1
2523,pryse,5,1,4,1,4,1
2524,pupae,5,1,5,1,5,1
2525,syncs,4,1,4,1,4,1
2526,mucor,5,1,5,1,5,1
2527,bebat,8,0,6,1,7,0
2528,unboy,4,1,4,1,4,1
2529,radar,3,1,4,1,4,1
2530,dorps,6,1,5,1,5,1
2531,bloat,3,1,6,1,6,1
2532,nodes,6,1,6,1,6,1
2533,posca,3,1,3,1,3,1
2534,izote,3,1,3,1,3,1
2535,album,4,1,5,1,5,1
2536,lapis,4,1,3,1,3,1
2537,tikur,4,1,4,1,4,1
2538,zoona,6,1,4,1,5,1
2539,rabid,6,1,4,1,4,1
2540,roose,4,1,4,1,4,1
2541,boled,6,1,7,0,7,0
2542,bears,10,0,11,0,11,0
2543,giles,6,1,7,0,7,0
2544,keena,5,1,4,1,4,1
2545,flurt,3,1,3,1,3,1
2546,sozin,3,1,3,1,3,1
2547,naunt,4,1,5,1,3,1
2548,rusma,5,1,4,1,4,1
2549,mahua,5,1,5,1,5,1
2550,kette,5,1,5,1,4,1
2551,blood,6,1,3,1,3,1
2552,fraud,6,1,4,1,6,1
2553,maray,4,1,4,1,4,1
2554,mizar,5,1,5,1,5,1
2555,henen,4,1,4,1,4,1
2556,freit,4,1,3,1,3,1
2557,astay,4,1,4,1,4,1
2558,lorry,4,1,4,1,4,1
2559,pluck,4,1,3,1,3,1
2560,droop,5,1,3,1,3,1
2561,brews,5,1,6,1,6,1
2562,turco,3,1,3,1,3,1
2563,koeri,3,1,4,1,4,1
2564,hocus,3,1,4,1,4,1
2565,alfur,4,1,5,1,5,1
2566,baria,5,1,5,1,5,1
2567,ellen,5,1,4,1,4,1
2568,mowha,6,1,4,1,4,1
2569,tsuba,4,1,5,1,5,1
2570,yards,9,0,4,1,4,1
2571,samel,4,1,4,1,4,1
2572,deter,4,1,6,1,6,1
2573,acana,4,1,4,1,3,1
2574,lapse,4,1,4,1,4,1
2575,spued,4,1,4,1,4,1
2576,fuels,4,1,5,1,4,1
2577,alcid,4,1,4,1,4,1
2578,expdt,4,1,4,1,4,1
2579,deric,4,1,4,1,4,1
2580,rosed,4,1,4,1,4,1
2581,tenne,5,1,4,1,3,1
2582,jenna,3,1,5,1,5,1
2583,plumy,3,1,4,1,4,1
2584,dauri,4,1,4,1,4,1
2585,meads,4,1,3,1,3,1
2586,cogon,4,1,3,1,3,1
2587,check,5,1,5,1,5,1
2588,shift,5,1,6,1,6,1
2589,drago,5,1,4,1,5,1
2590,pyrus,6,1,5,1,5,1
2591,ephod,4,1,4,1,5,1
2592,deles,4,1,6,1,6,1
2593,skeer,5,1,6,1,6,1
2594,cupid,4,1,4,1,4,1
2595,plout,4,1,3,1,3,1
2596,varda,4,1,6,1,6,1
2597,needy,5,1,3,1,3,1
2598,align,4,1,4,1,4,1
2599,reply,5,1,4,1,4,1
2600,ijmaa,4,1,5,1,4,1
2601,sappy,6,1,5,1,6,1
2602,mourn,5,1,4,1,4,1
2603,jomon,4,1,3,1,3,1
2604,bawke,5,1,4,1,4,1
2605,gusto,4,1,5,1,5,1
2606,craye,8,0,5,1,6,1
2607,tooth,5,1,4,1,4,1
2608,amess,4,1,4,1,4,1
2609,apace,5,1,4,1,4,1
2610,frise,4,1,5,1,5,1
2611,cease,3,1,4,1,3,1
2612,azote,4,1,3,1,3,1
2613,drown,5,1,6,1,6,1
2614,veals,8,0,6,1,6,1
2615,grabs,5,1,3,1,3,1
2616,rusty,4,1,4,1,4,1
2617,favel,5,1,7,0,7,0
2618,acate,5,1,4,1,4,1
2619,rhine,5,1,4,1,4,1
2620,cages,4,1,8,0,8,0
2621,momme,6,1,5,1,5,1
2622,crore,4,1,4,1,3,1
2623,vizzy,5,1,5,1,4,1
2624,bible,6,1,5,1,5,1
2625,woold,5,1,3,1,3,1
2626,chaja,7,0,5,1,6,1
2627,doric,4,1,6,1,6,1
2628,yager,6,1,4,1,4,1
2629,eikon,4,1,4,1,4,1
2630,loots,3,1,4,1,4,1
2631,hough,4,1,6,1,6,1
2632,moile,3,1,4,1,4,1
2633,nacre,3,1,4,1,4,1
2634,ruche,5,1,4,1,4,1
2635,shris,4,1,4,1,4,1
2636,powan,6,1,5,1,5,1
2637,thuoc,3,1,3,1,3,1
2638,ousts,4,1,4,1,4,1
2639,knuth,4,1,4,1,4,1
2640,tough,4,1,4,1,4,1
2641,lobal,4,1,4,1,4,1
2642,leung,4,1,4,1,4,1
2643,bussy,5,1,7,0,5,1
2644,adage,6,1,5,1,5,1
2645,gater,10,0,8,0,8,0
2646,remen,5,1,5,1,5,1
2647,diols,4,1,4,1,4,1
2648,hards,4,1,7,0,7,0
2649,pudgy,5,1,4,1,5,1
2650,looks,6,1,6,1,6,1
2651,armer,6,1,4,1,4,1
2652,agnel,4,1,4,1,4,1
2653,dummy,4,1,5,1,5,1
2654,peach,5,1,4,1,4,1
2655,madoc,4,1,4,1,4,1
2656,culls,4,1,4,1,4,1
2657,rowed,7,0,4,1,4,1
2658,wifed,5,1,4,1,4,1
2659,flrie,3,1,4,1,4,1
2660,stoke,4,1,6,1,6,1
2661,boomy,8,0,5,1,5,1
2662,kitty,5,1,6,1,5,1
2663,ungag,6,1,4,1,5,1
2664,limen,6,1,5,1,5,1
2665,chort,4,1,4,1,4,1
2666,quire,4,1,5,1,5,1
2667,vodka,5,1,4,1,5,1
2668,bugan,3,1,5,1,5,1
2669,kathy,6,1,4,1,5,1
2670,caite,3,1,3,1,3,1
2671,speal,5,1,4,1,4,1
2672,knurs,4,1,4,1,4,1
2673,maser,5,1,5,1,5,1
2674,waget,5,1,4,1,4,1
2675,shied,5,1,5,1,5,1
2676,goran,6,1,5,1,5,1
2677,zooms,6,1,4,1,4,1
2678,rumal,4,1,4,1,4,1
2679,baris,3,1,6,1,6,1
2680,inlay,3,1,3,1,3,1
2681,armor,4,1,4,1,4,1
2682,stail,4,1,3,1,3,1
2683,sasse,4,1,4,1,4,1
2684,umble,4,1,4,1,4,1
2685,fluty,4,1,4,1,4,1
2686,scoot,5,1,5,1,4,1
2687,ficus,5,1,5,1,5,1
2688,study,4,1,4,1,4,1
2689,falco,3,1,3,1,3,1
2690,thick,4,1,4,1,4,1
2691,gorra,4,1,4,1,4,1
2692,osage,3,1,4,1,4,1
2693,frawn,6,1,5,1,5,1
2694,yourt,4,1,4,1,4,1
2695,prier,4,1,4,1,4,1
2696,gluey,6,1,4,1,4,1
2697,hecht,4,1,4,1,4,1
2698,sadic,3,1,3,1,3,1
2699,comdt,3,1,5,1,5,1
2700,lurer,3,1,4,1,4,1
2701,tight,5,1,4,1,4,1
2702,vivek,5,1,4,1,4,1
2703,sweep,4,1,4,1,4,1
2704,anomy,5,1,3,1,4,1
2705,gwine,5,1,4,1,4,1
2706,itemy,4,1,4,1,4,1
2707,naomi,4,1,3,1,3,1
2708,gleam,5,1,4,1,5,1
2709,cyans,3,1,3,1,3,1
2710,leafy,6,1,6,1,6,1
2711,plena,5,1,4,1,4,1
2712,smurr,5,1,4,1,4,1
2713,sugan,4,1,6,1,5,1
2714,botel,4,1,5,1,5,1
2715,cabin,3,1,4,1,4,1
2716,algin,7,0,6,1,6,1
2717,inlet,3,1,3,1,3,1
2718,weste,7,0,4,1,4,1
2719,kanji,4,1,5,1,5,1
2720,gogga,5,1,5,1,5,1
2721,gumma,5,1,5,1,5,1
2722,ketty,6,1,5,1,5,1
2723,sequa,4,1,5,1,5,1
2724,usant,3,1,4,1,4,1
2725,ament,5,1,4,1,4,1
2726,fieri,6,1,5,1,4,1
2727,quite,3,1,5,1,6,1
2728,psora,4,1,3,1,3,1
2729,zetas,6,1,4,1,4,1
2730,niuan,4,1,6,1,6,1
2731,upjet,5,1,4,1,4,1
2732,guana,5,1,4,1,4,1
2733,dunal,4,1,5,1,5,1
2734,atomy,4,1,5,1,5,1
2735,ashet,3,1,4,1,4,1
2736,nohex,4,1,4,1,4,1
2737,genic,4,1,5,1,5,1
2738,krina,5,1,5,1,5,1
2739,joyed,5,1,6,1,6,1
2740,liesh,4,1,4,1,4,1
2741,varan,3,1,3,1,3,1
2742,thane,3,1,3,1,3,1
2743,norry,3,1,4,1,4,1
2744,reeve,5,1,4,1,4,1
2745,tajes,7,0,8,0,8,0
2746,lends,4,1,4,1,4,1
2747,gotch,6,1,5,1,5,1
2748,wloka,5,1,5,1,4,1
2749,keres,7,0,7,0,7,0
2750,kwapa,5,1,5,1,5,1
2751,catha,4,1,4,1,4,1
2752,bayed,7,0,7,0,7,0
2753,arias,4,1,4,1,3,1
2754,shahs,6,1,7,0,7,0
2755,amuze,5,1,4,1,5,1
2756,zapas,7,0,5,1,5,1
2757,devow,5,1,4,1,4,1
2758,unark,5,1,4,1,6,1
2759,craws,7,0,3,1,3,1
2760,sidle,4,1,4,1,4,1
2761,thews,4,1,4,1,4,1
2762,corol,3,1,5,1,5,1
2763,fecit,4,1,4,1,4,1
2764,goles,5,1,9,0,9,0
2765,nevoy,5,1,4,1,4,1
2766,actus,4,1,4,1,4,1
2767,meats,5,1,6,1,6,1
2768,topic,3,1,4,1,4,1
2769,trady,4,1,4,1,4,1
2770,drave,7,0,4,1,5,1
2771,linty,4,1,4,1,4,1
2772,illth,5,1,4,1,4,1
2773,chere,4,1,3,1,3,1
2774,rucky,4,1,4,1,4,1
2775,smelt,6,1,6,1,7,0
2776,bandh,6,1,4,1,4,1
2777,fultz,4,1,3,1,3,1
2778,taluk,5,1,4,1,4,1
2779,delly,8,0,5,1,9,0
2780,mamry,5,1,5,1,5,1
2781,trine,3,1,3,1,3,1
2782,ouphe,4,1,5,1,4,1
2783,kleig,4,1,4,1,4,1
2784,campa,4,1,4,1,4,1
2785,rests,4,1,3,1,3,1
2786,zimmi,4,1,4,1,4,1
2787,quaky,5,1,5,1,5,1
2788,hoses,5,1,5,1,5,1
2789,gasan,6,1,6,1,6,1
2790,iloko,3,1,4,1,4,1
2791,taube,3,1,4,1,4,1
2792,dalle,4,1,5,1,5,1
2793,kneed,4,1,4,1,4,1
2794,ibota,3,1,3,1,3,1
2795,marys,6,1,5,1,5,1
2796,skail,5,1,5,1,5,1
2797,agasp,6,1,4,1,4,1
2798,skied,6,1,4,1,4,1
2799,broil,4,1,4,1,4,1
2800,dewar,7,0,5,1,4,1
2801,herem,7,0,4,1,4,1
2802,callo,3,1,3,1,3,1
2803,fount,4,1,4,1,4,1
2804,manid,6,1,5,1,5,1
2805,babka,5,1,5,1,5,1
2806,alloo,6,1,5,1,3,1
2807,afric,3,1,5,1,5,1
2808,punto,5,1,4,1,4,1
2809,styan,3,1,4,1,4,1
2810,terse,4,1,4,1,3,1
2811,lears,4,1,4,1,4,1
2812,fario,4,1,5,1,5,1
2813,raves,9,0,5,1,5,1
2814,cornu,3,1,4,1,4,1
2815,mauri,5,1,4,1,4,1
2816,hulch,5,1,4,1,4,1
2817,cequi,4,1,4,1,4,1
2818,duple,6,1,4,1,4,1
2819,grant,6,1,4,1,4,1
2820,wreak,6,1,5,1,5,1
2821,limbu,4,1,4,1,5,1
2822,madge,6,1,6,1,6,1
2823,farse,5,1,7,0,7,0
2824,laced,3,1,4,1,4,1
2825,bunds,6,1,6,1,6,1
2826,sinal,3,1,3,1,3,1
2827,eneas,4,1,4,1,4,1
2828,sheng,5,1,5,1,5,1
2829,belay,5,1,3,1,3,1
2830,sirra,3,1,3,1,3,1
2831,azido,5,1,4,1,4,1
2832,amang,5,1,6,1,4,1
2833,squeg,5,1,4,1,4,1
2834,there,4,1,4,1,4,1
2835,marco,3,1,3,1,3,1
2836,tonal,3,1,3,1,3,1
2837,broke,5,1,5,1,6,1
2838,linge,6,1,4,1,4,1
2839,rasse,4,1,4,1,3,1
2840,fluff,6,1,5,1,5,1
2841,blote,5,1,7,0,7,0
2842,lipid,4,1,4,1,4,1
2843,moter,6,1,5,1,5,1
2844,vasal,5,1,4,1,4,1
2845,pagus,7,0,5,1,5,1
2846,theta,5,1,3,1,3,1
2847,lifer,4,1,3,1,3,1
2848,vouge,5,1,4,1,5,1
2849,turps,4,1,4,1,4,1
2850,paauw,5,1,5,1,5,1
2851,cutie,4,1,4,1,4,1
2852,orgue,4,1,4,1,4,1
2853,grane,5,1,4,1,4,1
2854,pinon,4,1,3,1,5,1
2855,bolts,3,1,8,0,8,0
2856,prees,3,1,4,1,4,1
2857,kioko,4,1,4,1,5,1
2858,kythe,4,1,4,1,4,1
2859,willy,3,1,4,1,4,1
2860,apium,5,1,5,1,4,1
2861,claye,5,1,4,1,4,1
2862,contd,3,1,5,1,5,1
2863,yearn,6,1,4,1,4,1
2864,group,5,1,4,1,4,1
2865,pitta,5,1,4,1,4,1
2866,cippi,4,1,4,1,4,1
2867,lefty,4,1,5,1,5,1
2868,vughs,5,1,5,1,5,1
2869,yipes,6,1,7,0,7,0
2870,scoad,4,1,3,1,3,1
2871,ridge,5,1,4,1,4,1
2872,sider,4,1,8,0,8,0
2873,intel,4,1,4,1,4,1
2874,garbs,4,1,5,1,5,1
2875,event,7,0,4,1,4,1
2876,indiv,6,1,4,1,4,1
2877,allow,5,1,4,1,5,1
2878,egall,6,1,5,1,5,1
2879,pilea,4,1,3,1,3,1
2880,lotos,4,1,4,1,4,1
2881,inial,4,1,4,1,4,1
2882,sruti,4,1,4,1,4,1
2883,galah,3,1,4,1,4,1
2884,yawls,5,1,4,1,4,1
2885,alpid,4,1,4,1,4,1
2886,being,6,1,5,1,4,1
2887,tango,5,1,4,1,4,1
2888,flume,7,0,6,1,5,1
2889,dexes,7,0,4,1,4,1
2890,noels,3,1,3,1,3,1
2891,tythe,4,1,4,1,4,1
2892,mudee,5,1,5,1,5,1
2893,caaba,5,1,5,1,5,1
2894,sitch,4,1,4,1,4,1
2895,myops,5,1,4,1,4,1
2896,crave,3,1,6,1,7,0
2897,valva,6,1,5,1,5,1
2898,armed,4,1,4,1,4,1
2899,benty,5,1,4,1,6,1
2900,mimed,8,0,7,0,7,0
2901,pupas,5,1,5,1,6,1
2902,starr,7,0,5,1,3,1
2903,cavum,4,1,4,1,4,1
2904,mohos,8,0,4,1,4,1
2905,hyson,4,1,4,1,5,1
2906,notes,3,1,3,1,3,1
2907,thigh,4,1,5,1,5,1
2908,pecos,5,1,4,1,4,1
2909,nokta,3,1,4,1,4,1
2910,tours,3,1,3,1,3,1
2911,chiot,3,1,4,1,4,1
2912,askew,4,1,3,1,3,1
2913,choca,5,1,4,1,4,1
2914,mazes,8,0,5,1,5,1
2915,whame,5,1,4,1,4,1
2916,burys,3,1,4,1,4,1
2917,panna,4,1,5,1,5,1
2918,puled,5,1,5,1,5,1
2919,monde,5,1,4,1,4,1
2920,vinet,4,1,3,1,4,1
2921,known,3,1,4,1,4,1
2922,stade,3,1,4,1,7,0
2923,droil,3,1,3,1,3,1
2924,kelep,4,1,3,1,3,1
2925,daint,4,1,6,1,6,1
2926,fruit,4,1,3,1,3,1
2927,finny,7,0,10,0,10,0
2928,sithe,4,1,4,1,4,1
2929,spiky,4,1,3,1,5,1
2930,quasi,6,1,5,1,5,1
2931,herry,4,1,8,0,8,0
2932,amelu,5,1,5,1,5,1
2933,chums,3,1,4,1,4,1
2934,tsubo,3,1,3,1,3,1
2935,organ,3,1,3,1,4,1
2936,repic,4,1,4,1,4,1
2937,harpa,5,1,4,1,4,1
2938,soulx,4,1,4,1,5,1
2939,apptd,5,1,4,1,4,1
2940,hotch,5,1,4,1,4,1
2941,leper,4,1,5,1,5,1
2942,haver,9,0,7,0,7,0
2943,sonsy,4,1,4,1,3,1
2944,dinus,6,1,4,1,4,1
2945,equal,5,1,5,1,5,1
2946,piman,6,1,5,1,5,1
2947,jibba,5,1,5,1,6,1
2948,trill,5,1,5,1,3,1
2949,showd,5,1,5,1,5,1
2950,dowel,6,1,5,1,5,1
2951,lobar,5,1,5,1,5,1
2952,sisel,4,1,4,1,4,1
2953,cozed,8,0,4,1,4,1
2954,pards,7,0,3,1,3,1
2955,festa,4,1,5,1,5,1
2956,acold,5,1,4,1,4,1
2957,scuta,4,1,4,1,4,1
2958,cader,6,1,7,0,7,0
2959,swick,6,1,4,1,4,1
2960,devil,6,1,3,1,3,1
2961,teras,3,1,3,1,3,1
2962,griot,4,1,4,1,4,1
2963,guijo,4,1,5,1,5,1
2964,undon,5,1,5,1,5,1
2965,dirgy,4,1,4,1,5,1
2966,kinin,4,1,4,1,4,1
2967,hooly,5,1,5,1,5,1
2968,agsam,5,1,5,1,5,1
2969,jived,4,1,6,1,6,1
2970,minim,4,1,4,1,4,1
2971,tagua,3,1,3,1,3,1
2972,livor,3,1,4,1,4,1
2973,namma,5,1,4,1,4,1
2974,equiv,6,1,4,1,4,1
2975,digit,4,1,5,1,5,1
2976,pungs,7,0,5,1,5,1
2977,inerm,4,1,4,1,5,1
2978,grovy,4,1,5,1,5,1
2979,jilts,9,0,8,0,8,0
2980,uvver,5,1,5,1,5,1
2981,agley,4,1,4,1,4,1
2982,moats,7,0,4,1,4,1
2983,adyta,4,1,5,1,4,1
2984,birth,5,1,7,0,7,0
2985,spook,4,1,5,1,5,1
2986,sabal,4,1,3,1,3,1
2987,thats,4,1,4,1,4,1
2988,dilli,5,1,6,1,6,1
2989,eloin,4,1,4,1,4,1
2990,dorts,8,0,8,0,8,0
2991,conge,3,1,3,1,3,1
2992,turma,3,1,3,1,3,1
2993,weest,7,0,4,1,4,1
2994,fetor,4,1,4,1,4,1
2995,aller,3,1,3,1,3,1
2996,crane,4,1,4,1,4,1
2997,tiles,3,1,3,1,3,1
2998,dhaks,5,1,5,1,5,1
2999,bagdi,4,1,5,1,5,1
3000,yetis,5,1,3,1,3,1
3001,shits,5,1,3,1,3,1
3002,track,5,1,5,1,5,1
3003,butin,4,1,4,1,4,1
3004,boyer,6,1,6,1,6,1
3005,video,4,1,3,1,3,1
3006,ratwa,5,1,4,1,4,1
3007,riffs,4,1,5,1,5,1
3008,messy,6,1,4,1,4,1
3009,kabar,5,1,6,1,6,1
3010,sumos,4,1,3,1,3,1
3011,edges,4,1,4,1,4,1
3012,unhot,4,1,4,1,4,1
3013,ewing,7,0,6,1,6,1
3014,nubby,4,1,4,1,5,1
3015,sitta,4,1,4,1,3,1
3016,herat,7,0,5,1,5,1
3017,aulos,3,1,4,1,4,1
3018,ictic,4,1,4,1,4,1
3019,tynes,4,1,3,1,3,1
3020,ovens,4,1,4,1,4,1
3021,stein,3,1,3,1,3,1
3022,bairn,3,1,3,1,3,1
3023,ligne,4,1,3,1,3,1
3024,uprip,4,1,4,1,4,1
3025,noggs,5,1,5,1,5,1
3026,baron,3,1,4,1,4,1
3027,honor,4,1,4,1,4,1
3028,ticky,4,1,4,1,4,1
3029,recap,5,1,4,1,4,1
3030,twank,3,1,3,1,5,1
3031,scare,3,1,3,1,3,1
3032,thatd,4,1,4,1,4,1
3033,trove,4,1,4,1,4,1
3034,alang,6,1,3,1,3,1
3035,yucks,6,1,4,1,4,1
3036,daren,5,1,6,1,6,1
3037,porte,4,1,3,1,3,1
3038,clans,3,1,3,1,3,1
3039,skair,4,1,4,1,4,1
3040,trifa,4,1,4,1,5,1
3041,derve,5,1,5,1,5,1
3042,death,4,1,6,1,6,1
3043,gonne,5,1,4,1,4,1
3044,bruta,5,1,5,1,5,1
3045,neper,4,1,5,1,5,1
3046,dopes,4,1,5,1,5,1
3047,moche,4,1,5,1,5,1
3048,comdg,6,1,5,1,5,1
3049,decor,3,1,4,1,4,1
3050,benim,4,1,5,1,5,1
3051,paula,5,1,4,1,4,1
3052,boody,5,1,4,1,4,1
3053,bries,6,1,7,0,7,0
3054,nidus,5,1,4,1,4,1
3055,sneck,4,1,4,1,4,1
3056,mosan,4,1,4,1,4,1
3057,bobol,4,1,4,1,4,1
3058,dopey,5,1,4,1,4,1
3059,golpe,5,1,3,1,3,1
3060,jawab,5,1,5,1,5,1
3061,miasm,3,1,4,1,5,1
3062,boone,3,1,5,1,5,1
3063,bungy,6,1,6,1,7,0
3064,ravin,4,1,4,1,4,1
3065,tabby,5,1,8,0,8,0
3066,wills,4,1,6,1,6,1
3067,cappy,6,1,6,1,6,1
3068,echis,3,1,3,1,3,1
3069,fezzy,5,1,6,1,6,1
3070,yadim,4,1,4,1,4,1
3071,phren,3,1,4,1,4,1
3072,ferri,5,1,5,1,5,1
3073,behap,4,1,5,1,5,1
3074,green,3,1,4,1,4,1
3075,fcomp,4,1,4,1,4,1
3076,gybed,5,1,5,1,5,1
3077,nacho,4,1,3,1,3,1
3078,keech,3,1,3,1,3,1
3079,keita,5,1,4,1,4,1
3080,manie,3,1,3,1,3,1
3081,hawse,4,1,4,1,4,1
3082,smock,3,1,4,1,4,1
3083,agism,4,1,5,1,5,1
3084,talcs,3,1,3,1,3,1
3085,secre,4,1,4,1,3,1
3086,sable,3,1,4,1,4,1
3087,apast,4,1,3,1,3,1
3088,fossa,6,1,3,1,3,1
3089,lunet,3,1,3,1,3,1
3090,swank,6,1,4,1,4,1
3091,sluig,4,1,4,1,4,1
3092,union,3,1,4,1,5,1
3093,unfur,4,1,4,1,4,1
3094,hurls,4,1,4,1,4,1
3095,cohen,7,0,6,1,6,1
3096,beala,6,1,5,1,3,1
3097,erick,3,1,4,1,4,1
3098,nasty,4,1,4,1,4,1
3099,belts,8,0,9,0,9,0
3100,leets,4,1,4,1,3,1
3101,wirra,5,1,5,1,5,1
3102,linje,4,1,4,1,4,1
3103,khoka,6,1,4,1,4,1
3104,radon,3,1,5,1,5,1
3105,resty,5,1,4,1,5,1
3106,twaes,3,1,3,1,3,1
3107,rathe,3,1,3,1,3,1
3108,lutea,4,1,4,1,4,1
3109,axils,4,1,4,1,4,1
3110,expwy,4,1,5,1,4,1
3111,minow,4,1,5,1,5,1
3112,modes,4,1,8,0,8,0
3113,ended,4,1,5,1,5,1
3114,unden,5,1,7,0,7,0
3115,harks,6,1,7,0,7,0
3116,aotea,3,1,3,1,3,1
3117,louse,3,1,4,1,4,1
3118,evade,4,1,5,1,5,1
3119,tempe,5,1,4,1,4,1
3120,auryl,3,1,3,1,4,1
3121,draft,4,1,6,1,6,1
3122,inorg,4,1,4,1,4,1
3123,akasa,4,1,4,1,4,1
3124,lowth,4,1,4,1,4,1
3125,snash,6,1,4,1,4,1
3126,bayou,5,1,4,1,4,1
3127,amort,6,1,4,1,4,1
3128,klutz,4,1,4,1,4,1
3129,stead,6,1,5,1,5,1
3130,feral,4,1,4,1,4,1
3131,refan,6,1,6,1,6,1
3132,crypt,3,1,4,1,4,1
3133,enoil,3,1,3,1,3,1
3134,tarok,4,1,4,1,4,1
3135,thuan,4,1,4,1,4,1
3136,virga,4,1,4,1,4,1
