word1,word2,entropy
tores,arils,9.004998
strae,laine,9.004826
solea,retia,9.004436
tires,roans,9.004265
sinae,rotas,9.004099
toras,senal,9.003737
siren,saute,9.002839
nares,trios,9.002584
tores,alois,9.002503
aures,tolas,9.002251
naris,rotes,9.002071
rates,liens,9.001922
tales,peris,9.001914
aures,tinea,9.001222
serta,lenis,9.000705
solea,caret,9.000510
teras,manis,9.000485
solea,senit,8.999609
teras,mails,8.999333
toras,males,8.999328
tales,moras,8.999328
tares,molas,8.999328
mares,tolas,8.999328
nates,sorel,8.999109
liras,rotes,8.999082
liras,canes,8.999080
sarin,soler,8.998953
sinae,tarde,8.998945
sinae,tolas,8.998637
aotes,reins,8.998115
tares,pinas,8.997930
lores,rants,8.997786
taels,cires,8.997764
aeons,liras,8.997679
teras,laics,8.997598
rates,larin,8.997178
rates,alien,8.996408
teras,dines,8.996168
lares,santo,8.995903
tares,ainus,8.995892
lanes,orias,8.995672
aures,toise,8.995610
tares,dials,8.995332
saner,sitao,8.995156
tares,penis,8.995071
solea,tenia,8.994918
tores,aliet,8.994799
toras,manes,8.994641
tares,monas,8.994641
liras,neats,8.994570
rales,antis,8.994510
tares,limas,8.994505
liras,tames,8.994505
serta,slain,8.994476
rasen,tiles,8.993284
tales,risen,8.993284
aeons,trias,8.993044
mares,tinea,8.993000
aries,tunas,8.992943
sinae,carle,8.992879
reals,tenia,8.992800
nates,rials,8.992688
sarin,sulea,8.992664
rails,neats,8.992114
aures,litas,8.991944
tries,aeons,8.991619
cares,lotas,8.991596
sinae,serut,8.991515
slare,saint,8.991355
sinae,soter,8.991297
tears,loris,8.991005
tores,talis,8.990931
lores,rains,8.990695
cares,lenis,8.990528
salet,cores,8.990454
teras,roils,8.990327
tires,sulea,8.990279
naris,roles,8.990032
trias,males,8.990026
earns,tolas,8.989715
teras,niels,8.989616
tales,sired,8.989566
senal,trias,8.989381
serai,solen,8.989126
lears,teian,8.989075
reals,teian,8.989048
lears,tenia,8.988536
lanes,soter,8.988319
slare,satin,8.988314
tarie,santo,8.988251
teras,lacis,8.987701
taros,leans,8.987610
teals,cires,8.987589
lairs,neats,8.987539
aloes,terns,8.987511
solea,tines,8.987264
riles,neats,8.987250
treas,lenis,8.987122
rasen,talis,8.987122
nates,arils,8.986949
lores,neats,8.986892
tarse,sline,8.986859
cares,saint,8.986721
leans,trias,8.986672
taise,roues,8.986631
taise,saron,8.986412
salet,maris,8.986288
treas,nails,8.986226
tarie,snore,8.986028
cares,tiens,8.985961
salue,serin,8.985552
strae,silen,8.985506
earls,sanit,8.985439
nares,riots,8.985434
tarie,males,8.985280
tares,malie,8.985280
tales,marie,8.985280
salet,mires,8.985209
toras,laces,8.985176
arles,tiens,8.985111
liras,danes,8.985029
saite,norse,8.984960
trias,manes,8.984959
teals,auris,8.984926
siren,cates,8.984653
salet,risen,8.984438
salet,marie,8.984391
aloes,naris,8.984049
nares,alois,8.984049
aloes,ranis,8.983898
tires,saned,8.983423
rains,taler,8.983368
sinae,soler,8.983343
tares,lieus,8.983228
leans,rites,8.982892
teras,coles,8.982118
ceras,toles,8.982118
arles,iotas,8.981891
lares,caite,8.981466
teras,palis,8.981376
nates,orias,8.981169
seral,santo,8.980998
ceras,tones,8.980844
teras,cones,8.980844
tores,ariel,8.980676
solea,sitar,8.980280
tales,ceros,8.980076
cares,telos,8.980076
mares,litas,8.980067
sinae,roues,8.979946
tires,melas,8.979911
teras,miles,8.979911
mares,sanit,8.979904
serai,santo,8.979329
aeons,terai,8.979306
rates,loans,8.979250
nates,liars,8.979077
tares,pilea,8.978884
dares,lenis,8.978684
lares,denis,8.978684
tares,oiler,8.978648
tarie,manes,8.978393
tares,manie,8.978393
sarin,stale,8.977054
trias,laces,8.976951
teras,mains,8.976545
saite,morae,8.976304
siren,taces,8.976291
airts,canes,8.976116
reals,senit,8.976006
dares,lotas,8.975815
cares,satin,8.975807
sarin,cates,8.975807
aloes,artie,8.975756
toras,lades,8.975464
nears,toles,8.975458
rails,antes,8.975438
rates,anils,8.975438
salet,ornes,8.975237
serta,solan,8.975064
serai,slote,8.974970
aries,solen,8.974928
rotes,airns,8.974627
rales,toner,8.974569
airts,dales,8.974182
toras,pales,8.974005
pares,tolas,8.974005
taros,elias,8.973770
serai,telos,8.973314
salet,snore,8.972935
cares,silen,8.972743
rasen,tails,8.972679
rates,niels,8.972175
nates,riels,8.972175
aloes,siren,8.971242
tarie,saned,8.970972
teras,pails,8.970955
dares,saint,8.970557
siren,dates,8.970526
toras,reins,8.970420
aeons,rites,8.970398
teras,mines,8.970172
toras,panes,8.969782
tears,alois,8.969591
saite,carls,8.969543
rates,lenos,8.969016
slate,saron,8.968858
lanes,tarsi,8.968822
tares,coals,8.968494
lears,senit,8.968342
oreas,talis,8.968206
sarin,taces,8.968193
roles,airns,8.968163
trias,lades,8.967997
teras,ainus,8.967883
teals,serio,8.967661
saite,daren,8.967538
tores,tails,8.967243
tares,toils,8.967243
taros,reins,8.967122
tares,peins,8.967015
nates,slier,8.966888
salet,cries,8.966582
tarie,laces,8.966542
serai,lotas,8.966450
slate,serio,8.966393
aloes,arite,8.966319
saite,sloan,8.966277
tires,deals,8.966115
saite,larus,8.965685
laser,tines,8.965331
aeons,artie,8.965206
dares,tiens,8.965045
tarns,elias,8.964953
aries,loans,8.964885
teals,reina,8.964660
pares,tinea,8.964299
lairs,antes,8.964051
siren,salue,8.964010
tares,maile,8.963048
saner,slote,8.963031
tarie,mores,8.962988
tores,marie,8.962988
leans,terai,8.962909
nares,roils,8.962842
cares,linea,8.962812
rales,tunas,8.962355
earns,litas,8.962199
tarse,liane,8.962068
saner,suite,8.961923
sarin,cores,8.961803
siren,dales,8.961266
dares,silen,8.961266
tores,lenis,8.961245
setal,saron,8.961195
nates,liers,8.961073
nates,ariel,8.960460
aotes,riels,8.960423
trias,pales,8.960378
tarse,nails,8.960259
dares,satin,8.960252
sarin,dates,8.960252
ceras,lites,8.960177
airts,danes,8.960048
rates,ceils,8.959913
laser,sanit,8.959865
lanes,auris,8.959812
tarns,tiles,8.959525
toras,aides,8.959448
cares,aliet,8.959422
aloes,rants,8.959400
lares,donas,8.959215
teras,doles,8.959107
tares,sicel,8.958739
tares,loris,8.958491
tarie,pales,8.958180
aeons,talis,8.957909
toras,lames,8.957900
lares,ratio,8.957481
tores,tains,8.957172
teras,canos,8.957166
dares,telos,8.957016
serai,tenla,8.956797
aeons,arite,8.956607
siren,stoae,8.956605
sorel,siena,8.956288
tears,liens,8.956220
serai,salon,8.956179
aeons,tiles,8.956093
aries,talus,8.955538
tales,arius,8.955538
rasen,toles,8.954883
tarie,lades,8.954874
solea,reina,8.954551
aeons,riles,8.954379
tales,aired,8.954355
tares,ailed,8.954355
tires,samen,8.954271
siren,tames,8.954271
tares,oriel,8.953553
tears,slain,8.953423
tales,ireos,8.953372
aries,toner,8.953276
aeons,rails,8.953161
taels,cores,8.953067
siren,stale,8.952841
nates,soler,8.952789
tales,aurei,8.952772
aotes,liers,8.952744
tires,deans,8.952383
seora,slite,8.951910
sarin,dales,8.951624
aeons,tails,8.951152
salet,paris,8.950949
saite,carns,8.950708
rates,delis,8.950426
rates,colas,8.950353
rales,santo,8.950305
aeons,lairs,8.950245
nears,lites,8.950003
tarie,panes,8.949898
nares,delis,8.949520
tores,saned,8.949418
airns,cates,8.949201
salue,sitar,8.948885
solea,tared,8.948821
tares,coirs,8.948810
teras,sloan,8.948772
dares,linea,8.948616
liras,manes,8.948029
lares,minas,8.948029
taels,mires,8.947903
tires,salem,8.947828
tears,canis,8.947772
saite,sorda,8.947675
earls,saint,8.947385
tares,soled,8.947238
airts,males,8.947091
aotes,lenis,8.946962
teras,lunes,8.946560
laser,tains,8.946531
aloes,rains,8.946380
salet,dries,8.946372
seora,teian,8.946146
rates,salon,8.946141
tares,maine,8.946138
tires,meals,8.946055
teals,mires,8.946055
tries,roans,8.946020
nares,laeti,8.945980
taels,auris,8.945895
seora,silen,8.945732
mares,lenis,8.945577
senal,sotie,8.945475
teals,maris,8.945342
aries,lenos,8.945316
solea,surat,8.944867
seora,slait,8.944713
tares,salic,8.944617
tarie,loris,8.944588
mares,saint,8.944517
pares,sanit,8.944516
salet,siren,8.944228
lanes,iotas,8.944011
aotes,slier,8.943846
teals,cores,8.943534
aures,lenis,8.943305
roles,neats,8.943169
nares,ceils,8.942906
sadie,tarns,8.942889
leans,rotes,8.942661
rales,caite,8.942537
tales,tarin,8.942308
aures,lotas,8.942249
sarin,tames,8.942240
tarse,salon,8.942098
dares,aliet,8.941957
aeons,rials,8.941813
lanes,drias,8.941584
tales,tiros,8.941580
taros,tiles,8.941580
tires,solen,8.941525
tores,silen,8.941525
siren,toles,8.941525
toras,tiles,8.941464
tires,tolas,8.941464
tarie,laius,8.941422
lares,coats,8.941227
tarie,lames,8.941174
salet,mores,8.941032
taels,saron,8.940852
airns,taces,8.940627
nears,tolas,8.940577
tares,heils,8.940476
rates,deils,8.940274
aotes,linea,8.940250
teras,dials,8.940128
oreas,tiles,8.939061
nates,auris,8.938739
salet,aired,8.938462
aloes,tains,8.938203
teras,ianus,8.937850
lares,ornis,8.937786
nares,caite,8.937616
laser,tones,8.937442
tales,orans,8.937235
cares,iotas,8.936687
saite,darns,8.936553
tales,horas,8.936448
toras,hales,8.936448
aloes,tiers,8.936418
tears,dalis,8.936211
talis,dears,8.936211
lanes,roset,8.936082
siren,mates,8.935882
aries,oaten,8.935878
aotes,silen,8.935687
liras,stoae,8.935686
ceras,lines,8.935615
teras,noels,8.935316
teras,moles,8.935089
tores,melas,8.935089
tails,dears,8.935062
oreas,tails,8.934904
taels,orias,8.934904
airns,dates,8.934499
nares,colas,8.934422
tires,samel,8.934346
tores,sulea,8.933986
nares,deils,8.933892
lanes,tires,8.933782
tares,lines,8.933782
lares,tines,8.933782
tarie,alose,8.933737
tarie,salem,8.933673
aeons,tiers,8.933654
aeons,liars,8.933031
naris,saute,8.932817
tries,sulea,8.932721
taels,roans,8.932664
ceras,nails,8.932606
talis,arces,8.932601
ranis,saute,8.932501
nares,altos,8.932266
salet,sarin,8.932204
laser,saint,8.932183
oreas,tines,8.931902
ceras,senit,8.931863
rates,noels,8.931802
airts,manes,8.931742
toras,tines,8.931340
aloes,tinea,8.931183
strae,solen,8.931115
tares,canoe,8.931053
dales,airns,8.930997
sinae,sarod,8.930870
earls,satin,8.930869
lares,matie,8.930779
tarie,pores,8.930750
salet,aurei,8.930727
tares,aulos,8.930643
teals,seron,8.930260
siren,solar,8.930022
lares,sited,8.929930
tarie,samen,8.929903
rales,denis,8.929785
taels,marie,8.929314
sinae,lotas,8.929050
earls,notes,8.928973
cares,solen,8.928690
seora,linea,8.928397
taros,tines,8.928301
mares,satin,8.928279
sarin,mates,8.928279
aries,loren,8.928010
tries,saned,8.927712
aotes,nails,8.927195
tarns,saice,8.926639
taels,ornes,8.926368
lares,doats,8.925848
earns,telos,8.925697
arles,canis,8.925445
tears,laius,8.925194
sorel,sitar,8.925091
rasen,lites,8.924819
tales,meros,8.924733
tares,melos,8.924733
mares,telos,8.924733
sorel,cates,8.924650
aures,telos,8.924445
solea,cires,8.923373
talis,acres,8.923134
aures,linea,8.922840
teals,orias,8.922808
siren,males,8.922449
mares,silen,8.922449
talis,carse,8.922438
cares,laine,8.922249
talis,sacre,8.921956
treas,alois,8.921915
salet,rices,8.921856
tores,deals,8.921846
airts,laces,8.921729
saite,marls,8.921597
tales,maire,8.921339
sorel,tines,8.921043
aures,silen,8.920515
salet,hires,8.920390
dares,solen,8.920009
tarie,samel,8.919546
mares,aliet,8.919252
sorel,antes,8.919096
tarie,hales,8.918923
tarns,toles,8.918860
saite,orale,8.918855
senal,soter,8.918354
taros,salue,8.918281
hares,sanit,8.918005
seral,iotas,8.917418
airts,lades,8.917357
lares,ainus,8.917344
solea,daren,8.917234
serai,slone,8.917072
sorel,taces,8.916962
solea,stire,8.916535
teras,cloes,8.916349
reals,notes,8.916087
sarin,males,8.915823
rails,saute,8.915311
airts,pales,8.915224
talis,roles,8.914778
lanes,moras,8.914749
tares,paine,8.914652
aries,colas,8.914623
tears,ualis,8.914596
taros,sadie,8.914556
salet,roues,8.914179
sorel,saute,8.914093
rotes,elias,8.913609
tares,alids,8.913261
salet,rides,8.912942
sinae,rotse,8.912792
sorel,canes,8.912753
tores,naris,8.912730
mares,linea,8.912679
saite,caner,8.912630
saner,caite,8.912630
salet,mairs,8.912544
salet,pores,8.912335
dares,laine,8.912258
tores,deans,8.912208
aotes,maris,8.912112
tales,trois,8.911952
teals,ornes,8.911487
naris,salue,8.911147
aeons,ariel,8.911133
lears,notes,8.910796
salet,maire,8.910721
tarse,canis,8.910237
taros,claes,8.910066
tales,sicer,8.909997
lanes,loris,8.909886
lanes,marie,8.909810
lares,manie,8.909810
salue,tarns,8.909698
raise,slote,8.909694
salue,artie,8.909157
lares,tarin,8.908990
tares,larin,8.908990
tares,moans,8.908788
races,sanit,8.908463
lares,tiros,8.908173
lares,aunts,8.908172
oreas,tains,8.907673
tores,samen,8.906961
saite,horae,8.906938
pares,saint,8.906784
ranis,tones,8.906778
taros,saice,8.906541
lares,tains,8.906292
tires,salep,8.906187
lanes,sired,8.906137
tores,liras,8.906130
salue,arite,8.905525
lairs,saute,8.905404
tales,sarip,8.905298
sorel,dates,8.905000
sarin,sotie,8.904809
siena,soler,8.904800
tarse,dalis,8.904699
aures,nails,8.904071
tarie,bales,8.904008
tales,barie,8.904008
tores,salem,8.903849
salet,runes,8.903838
ranis,salue,8.903765
leans,rotas,8.903606
serta,lenos,8.903129
salet,canis,8.903035
saite,rason,8.903003
sorel,saice,8.902908
nares,tiles,8.902788
salet,baris,8.902658
tares,saily,8.902366
tarie,banes,8.902067
sorel,danes,8.901967
serio,slane,8.901777
saite,lards,8.901544
aries,latus,8.901171
aries,donas,8.901148
saite,daler,8.900919
nares,talis,8.900806
tales,naris,8.900806
aries,taled,8.900661
tores,meals,8.900244
tares,loads,8.899784
cares,alois,8.899570
salet,barie,8.899419
lares,somet,8.899227
bares,sanit,8.899178
salet,cines,8.898820
taros,saned,8.898668
rates,dials,8.898648
cares,alien,8.898470
tales,sarod,8.897888
sorel,sadie,8.897807
lanes,tores,8.897643
lares,tones,8.897643
siren,lades,8.897606
aloes,reins,8.896807
lanes,ceros,8.896783
cares,lenos,8.896783
lares,saunt,8.896630
aries,alone,8.896469
siren,laces,8.896157
airns,males,8.895944
saite,paren,8.895927
tails,arces,8.895795
tares,talio,8.895353
salet,rimes,8.894901
saner,tules,8.894408
tores,tinea,8.894173
tarie,names,8.894171
rains,saute,8.894055
salet,raids,8.893969
lares,aotus,8.893806
aotes,larus,8.893806
salet,ramie,8.893701
tales,carne,8.893645
pares,satin,8.893205
sarin,pates,8.893205
neats,serio,8.892962
tarie,salep,8.892737
tales,ranis,8.892192
aries,coats,8.892085
tares,sapin,8.891954
tarse,ualis,8.891723
tales,ramie,8.891708
dares,alien,8.891631
sacre,tails,8.890611
serai,lenos,8.890548
tores,samel,8.890538
sorel,tames,8.890538
lares,sapit,8.890494
dales,sanit,8.890307
sarin,laces,8.890166
dares,alois,8.890160
seora,lenis,8.889988
sarin,solen,8.889775
taros,aides,8.889639
tarse,laius,8.889365
taise,larus,8.889365
salet,maros,8.889314
aloes,caret,8.889199
lores,sated,8.888589
nares,dials,8.888426
canes,rials,8.888277
salet,pries,8.887718
tails,carse,8.887019
siren,pales,8.886994
pares,silen,8.886994
tarie,gales,8.886699
senal,rotas,8.886636
tales,rason,8.886613
sarin,lades,8.886294
salet,carns,8.886117
saner,dalis,8.885809
salet,carne,8.885484
teras,toils,8.885111
tales,trios,8.885057
rates,ainus,8.885045
rates,malie,8.884920
rales,matie,8.884920
rales,tines,8.884209
taels,roues,8.884176
saite,parel,8.884171
ranis,rotes,8.883889
tares,baile,8.883821
cares,loans,8.883667
nares,tirls,8.883491
tares,nirls,8.883491
races,saint,8.883267
lanes,tries,8.882834
tales,samir,8.882584
solea,mires,8.882129
mares,laine,8.882012
lares,maine,8.882012
sadie,taler,8.881044
trias,toles,8.881027
tries,tolas,8.881027
saite,maros,8.880930
nates,marie,8.880533
nares,matie,8.880533
lores,tarns,8.880377
tales,tairn,8.880199
tores,airns,8.880029
aries,noels,8.880021
sarin,pales,8.879918
leans,serio,8.879522
rites,sulea,8.879446
aotes,paris,8.879326
raise,laten,8.878914
cates,saron,8.878722
saute,soler,8.878715
hares,saint,8.878305
trias,tones,8.878301
dares,loans,8.878198
tares,haine,8.878010
cares,santo,8.877979
mares,solen,8.877771
canes,soter,8.877628
lanes,arius,8.877520
rails,rotes,8.877224
rates,roils,8.877224
salet,pairs,8.877062
sinae,moras,8.876481
rales,riots,8.876259
talis,tones,8.876171
tares,nails,8.875443
nares,tails,8.875443
leans,ratos,8.874992
siren,lames,8.874074
teals,roues,8.873757
raise,salon,8.873735
tares,loren,8.873722
liras,tines,8.873702
nares,malie,8.873478
sacre,tains,8.873362
lores,saned,8.873226
lares,autos,8.872844
rates,manie,8.872679
aotes,sired,8.872230
lanes,aired,8.871917
saner,laius,8.871602
ranis,roles,8.870400
rales,ainus,8.869621
lanes,ireos,8.869577
salet,cones,8.869476
cares,salon,8.868621
tries,solen,8.868287
rates,maile,8.867305
aures,solen,8.867190
raise,santo,8.866607
aries,coals,8.865539
sarin,lames,8.865459
rains,rotes,8.865375
saner,coles,8.864652
canes,soler,8.864652
rales,manie,8.864400
lares,saith,8.864274
hares,satin,8.864241
saner,talus,8.864067
tarie,saron,8.863964
salet,cains,8.863867
talis,saron,8.863652
saice,soler,8.863609
dares,santo,8.863571
bares,saint,8.863320
salet,darns,8.863260
nares,sault,8.862910
